NAME,STAT,LEVEL,LAT,LON,TIME,WIND,PR
Katia,HURRICANE-1,3,21.60,-94.60,09/07 12:00 PM,70,980
Katia,HURRICANE-1,3,21.60,-94.60,09/07 6:00 PM,70,980
Katia,HURRICANE-1,3,21.50,-95.10,09/08 12:00 AM,75,982
Katia,HURRICANE-1,3,21.30,-95.40,09/08 6:00 AM,80,977
Katia,HURRICANE-2,4,21.00,-95.80,09/08 12:00 PM,85,975
Katia,HURRICANE-2,4,21.00,-96.50,09/08 6:00 PM,90,972
Katia,HURRICANE-1,3,20.60,-97.20,09/09 12:00 AM,65,988
Katia,TROPICAL STORM,2,20.30,-97.50,09/09 6:00 AM,35,1001
Lee,TROPICAL DEPRESSION,1,10.70,-25.40,09/15 12:00 AM,30,1010
Lee,TROPICAL DEPRESSION,1,10.60,-27.30,09/15 6:00 AM,30,1008
Lee,TROPICAL DEPRESSION,1,11.40,-28.30,09/15 12:00 PM,30,1008
Lee,TROPICAL DEPRESSION,1,12.60,-29.70,09/15 6:00 PM,30,1009
Lee,TROPICAL DEPRESSION,1,12.80,-30.70,09/16 12:00 AM,30,1009
Lee,TROPICAL DEPRESSION,1,12.60,-32.10,09/16 6:00 AM,30,1008
Lee,TROPICAL STORM,2,12.50,-33.10,09/16 12:00 PM,35,1007
Lee,TROPICAL STORM,2,12.60,-34.20,09/16 6:00 PM,35,1007
Lee,TROPICAL STORM,2,12.80,-34.90,09/17 12:00 AM,35,1007
Lee,TROPICAL STORM,2,13.00,-35.40,09/17 6:00 AM,35,1007
Lee,TROPICAL DEPRESSION,1,13.00,-36.70,09/17 12:00 PM,30,1007
Lee,TROPICAL DEPRESSION,1,13.20,-37.30,09/17 6:00 PM,30,1007
Lee,TROPICAL DEPRESSION,1,13.60,-38.50,09/18 12:00 AM,30,1007
Lee,TROPICAL DEPRESSION,1,14.10,-39.80,09/18 6:00 AM,30,1007
Lee,TROPICAL DEPRESSION,1,14.10,-40.60,09/18 12:00 PM,30,1007
Lee,TROPICAL DEPRESSION,1,15.00,-40.60,09/18 6:00 PM,30,1007
Lee,TROPICAL DEPRESSION,1,15.10,-43.00,09/19 12:00 AM,25,1007
Lee,TROPICAL DEPRESSION,1,30.80,-48.90,09/22 6:00 PM,30,1014
Lee,TROPICAL STORM,2,31.50,-49.00,09/23 12:00 AM,35,1009
Lee,TROPICAL STORM,2,31.90,-49.20,09/23 6:00 AM,35,1009
Lee,TROPICAL STORM,2,31.90,-49.40,09/23 12:00 PM,40,1007
Lee,TROPICAL STORM,2,32.10,-49.80,09/23 6:00 PM,40,1007
Lee,TROPICAL STORM,2,31.90,-50.10,09/24 12:00 AM,45,1003
Lee,HURRICANE-1,3,31.90,-50.10,09/24 6:00 AM,65,987
Lee,HURRICANE-1,3,31.80,-50.10,09/24 6:00 AM,75,983
Lee,HURRICANE-1,3,31.40,-49.90,09/24 12:00 PM,80,982
Lee,HURRICANE-1,3,31.30,-49.70,09/24 6:00 PM,80,980
Lee,HURRICANE-1,3,31.10,-49.50,09/25 12:00 AM,80,980
Lee,HURRICANE-1,3,31.10,-49.40,09/25 6:00 AM,80,980
Lee,HURRICANE-1,3,30.80,-49.90,09/25 12:00 PM,80,980
Lee,HURRICANE-1,3,30.50,-50.60,09/25 6:00 PM,75,983
Lee,HURRICANE-1,3,30.20,-51.50,09/26 12:00 AM,80,979
Lee,HURRICANE-2,4,30.00,-52.50,09/26 6:00 AM,85,977
Lee,HURRICANE-2,4,29.90,-53.70,09/26 12:00 PM,90,975
Lee,HURRICANE-2,4,29.90,-54.60,09/26 6:00 PM,95,971
Lee,HURRICANE-2,4,30.00,-55.50,09/27 12:00 AM,95,971
Lee,HURRICANE-2,4,30.20,-56.30,09/27 6:00 AM,95,971
Lee,HURRICANE-3,5,30.60,-56.80,09/27 12:00 PM,100,963
Lee,HURRICANE-3,5,31.20,-57.10,09/27 6:00 PM,100,962
Lee,HURRICANE-2,4,31.70,-57.30,09/28 12:00 AM,95,966
Lee,HURRICANE-2,4,32.50,-57.20,09/28 6:00 AM,95,966
Lee,HURRICANE-2,4,33.70,-57.00,09/28 12:00 PM,85,973
Lee,HURRICANE-1,3,35.10,-55.80,09/28 6:00 PM,80,977
Lee,HURRICANE-1,3,36.30,-54.60,09/29 12:00 AM,70,984
Lee,HURRICANE-1,3,38.30,-52.40,09/29 6:00 AM,65,987
Lee,TROPICAL STORM,2,40.10,-49.50,09/29 12:00 PM,60,992
Lee,TROPICAL STORM,2,42.20,-46.00,09/29 6:00 PM,55,996
Maria,TROPICAL STORM,2,12.30,-52.60,09/16 6:00 PM,45,1002
Maria,TROPICAL STORM,2,12.50,-53.70,09/17 12:00 AM,45,1002
Maria,TROPICAL STORM,2,13.00,-54.90,09/17 6:00 AM,55,994
Maria,TROPICAL STORM,2,13.50,-56.20,09/17 12:00 PM,55,994
Maria,HURRICANE-1,3,13.80,-57.50,09/17 6:00 PM,65,982
Maria,HURRICANE-1,3,14.20,-58.40,09/18 12:00 AM,75,979
Maria,HURRICANE-1,3,14.60,-59.50,09/18 6:00 AM,80,977
Maria,HURRICANE-3,5,14.70,-60.10,09/18 12:00 PM,105,959
Maria,HURRICANE-4,6,15.10,-60.70,09/18 6:00 PM,115,950
Maria,HURRICANE-5,7,15.30,-61.10,09/18 6:00 PM,140,925
Maria,HURRICANE-5,7,15.50,-61.40,09/19 12:00 AM,140,924
Maria,HURRICANE-4,6,16.00,-62.30,09/19 6:00 AM,135,934
Maria,HURRICANE-5,7,16.30,-63.10,09/19 12:00 PM,140,927
Maria,HURRICANE-5,7,16.80,-64.00,09/19 6:00 PM,145,916
Maria,HURRICANE-5,7,17.30,-64.70,09/20 12:00 AM,150,909
Maria,HURRICANE-4,6,17.90,-65.60,09/20 6:00 AM,135,917
Maria,HURRICANE-4,6,18.40,-66.50,09/20 12:00 PM,120,930
Maria,HURRICANE-2,4,18.80,-67.30,09/20 6:00 PM,95,957
Maria,HURRICANE-2,4,19.20,-67.90,09/21 12:00 AM,95,959
Maria,HURRICANE-3,5,19.60,-68.40,09/21 6:00 AM,100,959
Maria,HURRICANE-3,5,20.20,-69.10,09/21 12:00 PM,100,960
Maria,HURRICANE-3,5,20.80,-69.80,09/21 6:00 PM,105,960
Maria,HURRICANE-3,5,21.00,-70.20,09/22 12:00 AM,110,955
Maria,HURRICANE-3,5,21.60,-70.60,09/22 6:00 AM,110,959
Maria,HURRICANE-3,5,22.30,-71.00,09/22 12:00 PM,110,958
Maria,HURRICANE-3,5,23.30,-71.40,09/22 6:00 PM,110,959
Maria,HURRICANE-3,5,24.10,-71.70,09/23 12:00 AM,110,954
Maria,HURRICANE-3,5,24.80,-72.00,09/23 6:00 AM,105,952
Maria,HURRICANE-3,5,25.40,-72.30,09/23 12:00 PM,100,952
Maria,HURRICANE-3,5,26.30,-72.50,09/23 6:00 PM,100,950
Maria,HURRICANE-3,5,27.00,-72.50,09/24 12:00 AM,100,942
Maria,HURRICANE-2,4,27.90,-72.70,09/24 6:00 AM,95,948
Maria,HURRICANE-2,4,28.70,-72.90,09/24 12:00 PM,90,947
Maria,HURRICANE-2,4,29.40,-73.00,09/24 6:00 PM,90,941
Maria,HURRICANE-1,3,30.00,-73.00,09/25 12:00 AM,80,950
Maria,HURRICANE-1,3,30.60,-73.00,09/25 6:00 AM,70,957
Maria,HURRICANE-1,3,31.20,-72.90,09/25 12:00 PM,70,963
Maria,HURRICANE-1,3,31.70,-73.10,09/25 6:00 PM,70,965
Maria,HURRICANE-1,3,32.30,-73.10,09/26 12:00 AM,70,969
Maria,HURRICANE-1,3,32.90,-73.10,09/26 6:00 AM,65,970
Maria,HURRICANE-1,3,33.60,-73.10,09/26 12:00 PM,65,971
Maria,TROPICAL STORM,2,34.10,-73.00,09/26 6:00 PM,60,974
Maria,TROPICAL STORM,2,34.90,-72.90,09/27 12:00 AM,60,975
Maria,TROPICAL STORM,2,35.10,-72.90,09/27 6:00 AM,60,976
Maria,HURRICANE-1,3,35.60,-72.60,09/27 12:00 PM,65,978
Maria,HURRICANE-1,3,36.20,-72.10,09/27 6:00 PM,65,979
Maria,HURRICANE-1,3,36.80,-71.50,09/28 12:00 AM,65,979
Maria,TROPICAL STORM,2,36.80,-71.00,09/28 6:00 AM,60,982
Maria,TROPICAL STORM,2,36.80,-69.30,09/28 12:00 PM,60,982
Maria,TROPICAL STORM,2,36.80,-67.80,09/28 6:00 PM,55,985
Maria,TROPICAL STORM,2,37.10,-65.50,09/29 12:00 AM,55,985
Maria,TROPICAL STORM,2,37.20,-63.30,09/29 6:00 AM,50,987
Maria,TROPICAL STORM,2,37.50,-60.10,09/29 12:00 PM,50,988
Maria,TROPICAL STORM,2,37.80,-57.40,09/29 6:00 PM,50,988
Maria,TROPICAL STORM,2,38.60,-53.90,09/30 12:00 AM,50,988
Maria,TROPICAL STORM,2,39.60,-50.50,09/30 6:00 AM,50,988
Maria,TROPICAL STORM,2,40.70,-47.20,09/30 12:00 PM,50,989
Nate,TROPICAL DEPRESSION,1,12.20,-81.90,10/04 12:00 PM,30,1005
Nate,TROPICAL DEPRESSION,1,12.50,-82.50,10/04 6:00 PM,30,1005
Nate,TROPICAL DEPRESSION,1,12.80,-82.70,10/05 12:00 AM,30,1004
Nate,TROPICAL DEPRESSION,1,13.30,-83.30,10/05 6:00 AM,30,1004
Nate,TROPICAL STORM,2,14.30,-83.70,10/05 12:00 PM,35,999
Nate,TROPICAL STORM,2,14.90,-84.30,10/05 6:00 PM,35,1000
Nate,TROPICAL STORM,2,15.80,-84.70,10/06 12:00 AM,35,1000
Nate,TROPICAL STORM,2,16.90,-85.10,10/06 6:00 AM,40,999
Nate,TROPICAL STORM,2,18.70,-85.00,10/06 12:00 PM,45,996
Nate,TROPICAL STORM,2,20.30,-85.70,10/06 6:00 PM,50,993
Nate,TROPICAL STORM,2,22.30,-86.40,10/07 12:00 AM,60,990
Nate,HURRICANE-1,3,24.50,-87.00,10/07 6:00 AM,70,987
Nate,HURRICANE-1,3,26.60,-88.40,10/07 12:00 PM,80,984
Nate,HURRICANE-1,3,28.40,-89.10,10/07 6:00 PM,80,981
